Subpopulation,Indicator,NResp,Value,Estimate.P,LCB95Pct.P,UCB95Pct.P
Virginia,VSCIAll,190,55.2827111,35.71748735,31.38163122,40.05334347
Virginia,VSCIAll,191,55.33387105,35.80774636,31.46816637,40.14732635
Virginia,VSCIAll,192,55.52141588,35.92986508,31.58695856,40.27277159
Virginia,VSCIAll,193,55.52545236,35.98659184,31.64135711,40.33182656
Virginia,VSCIAll,194,55.52667594,36.10871056,31.76287203,40.45454908
Virginia,VSCIAll,195,55.54140865,36.23082927,31.88128601,40.58037254
Virginia,VSCIAll,196,55.56375494,36.35294799,32.00916081,40.69673517
Virginia,VSCIAll,197,55.57168903,36.47506671,32.1280275,40.82210592
Virginia,VSCIAll,198,55.61969315,36.53179347,32.18429718,40.87928975
Virginia,VSCIAll,199,55.75,37.05750651,32.71245363,41.4025594
Virginia,VSCIAll,200,55.855,37.14776553,32.80103365,41.49449741
Virginia,VSCIAll,201,55.88,37.20449229,32.85706623,41.55191835
Virginia,VSCIAll,202,56.04609727,37.23204771,32.8844447,41.57965072
Virginia,VSCIAll,203,56.05837761,37.35416643,33.00336229,41.70497057
Virginia,VSCIAll,204,56.06203282,37.87987948,33.52226613,42.23749282
Virginia,VSCIAll,205,56.09,38.0019982,33.64555748,42.35843891
Virginia,VSCIAll,206,56.12,38.12411691,33.76630836,42.48192547
Virginia,VSCIAll,207,56.15739694,38.18084367,33.82188115,42.5398062
Virginia,VSCIAll,208,56.28,38.27110269,33.90879311,42.63341227
Virginia,VSCIAll,209,56.3,38.39322141,34.02963042,42.75681239
Virginia,VSCIAll,210,56.42361936,38.91893445,34.54993366,43.28793525
Virginia,VSCIAll,211,56.47,38.97566121,34.60653138,43.34479104
Virginia,VSCIAll,212,56.6524971,39.00321663,34.63616681,43.37026646
Virginia,VSCIAll,213,56.65324608,39.09347565,34.7268984,43.4600529
Virginia,VSCIAll,214,56.67869136,39.6191887,35.24850577,43.98987163
Virginia,VSCIAll,215,57.04,39.70944771,35.33802079,44.08087464
Virginia,VSCIAll,216,57.17,39.88468539,35.51172468,44.25764611
Virginia,VSCIAll,217,57.225,40.00680411,35.63149888,44.38210934
Virginia,VSCIAll,218,57.3,40.12892283,35.75217073,44.50567493
Virginia,VSCIAll,219,57.36,40.25104155,35.87156128,44.63052181
Virginia,VSCIAll,220,57.47,40.77675459,36.37705139,45.1764578
Virginia,VSCIAll,221,57.49415027,40.89887331,36.49799307,45.29975355
Virginia,VSCIAll,222,57.51,40.92642874,36.52521456,45.32764291
Virginia,VSCIAll,223,57.64236702,41.01668775,36.61485227,45.41852323
Virginia,VSCIAll,224,57.679058,41.04424318,36.64296554,45.44552081
Virginia,VSCIAll,225,57.72884686,41.13450219,36.7278279,45.54117648
Virginia,VSCIAll,226,57.86,41.19122895,36.78822261,45.59423529
Virginia,VSCIAll,227,58.01,41.28148796,36.87896685,45.68400908
Virginia,VSCIAll,228,58.03533789,41.30904339,36.90590627,45.71218051
Virginia,VSCIAll,229,58.35,41.3993024,36.99694585,45.80165896
Virginia,VSCIAll,230,58.47370048,41.42685783,37.02490571,45.82880994
Virginia,VSCIAll,231,58.49031861,41.48358459,37.08055849,45.88661068
Virginia,VSCIAll,232,58.5,41.6057033,37.2029299,46.0084767
Virginia,VSCIAll,233,58.53,42.13141635,37.6899371,46.57289561
Virginia,VSCIAll,234,58.54413033,42.18814311,37.74728203,46.62900419
Virginia,VSCIAll,235,58.71124308,42.27840212,37.83429496,46.72250929
Virginia,VSCIAll,236,58.76,42.29731104,37.85309261,46.74152948
Virginia,VSCIAll,237,58.765,42.41942976,37.97352244,46.86533708
Virginia,VSCIAll,238,58.81,42.50968878,38.06495938,46.95441818
Virginia,VSCIAll,239,58.82,42.5372442,38.09099182,46.98349658
Virginia,VSCIAll,240,58.85,42.59397096,38.14622428,47.04171764
Virginia,VSCIAll,241,58.89336959,42.68422997,38.23934302,47.12911693
Virginia,VSCIAll,242,59.015,42.80634869,38.36203737,47.25066002
Virginia,VSCIAll,243,59.05148184,43.33206174,38.88343097,47.78069251
Virginia,VSCIAll,244,59.06068573,43.42232075,38.97205233,47.87258918
Virginia,VSCIAll,245,59.255,43.51257977,39.064359,47.96080054
Virginia,VSCIAll,246,59.38056284,43.56930653,39.12539893,48.01321412
